FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
21279,Anime & Manga Enthusiasts at UC San Diego,GBM 1,01/08/2024 12:00 AM,Price Center Theater,$350.00,,11/9/2023 9:01:35 AM
21282,Boardgames and Boba @ UC San Diego,Winter Quarter Game Night #1,01/08/2024 12:00 AM,Price Center - Ballroom East,$596.41,,11/10/2023 9:17:54 PM
21267,American Medical Student Association,Renee Long,01/09/2024 12:00 AM,Price Center - Theater,$587.24,,11/3/2023 10:22:26 PM
21271,Eta Kappa Nu (HKN),HKN Board Game Night,01/09/2024 12:00 AM,Henry Booker Room,$199.98,,11/5/2023 9:13:34 AM
21285,Data Science Student Society,DS3 Winter Tabling,01/09/2024 12:00 AM,"Table 1977, Library Walk",$350.00,,11/10/2023 11:56:37 PM
21265,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 1 GBM,01/10/2024 12:00 AM,Natural Sciences Building,$599.99,,11/3/2023 8:43:38 PM
21275,Delta Sigma Pi,Delta Sigma Pi Winter Recruitment 2024- Speed Dating Night,01/10/2024 12:00 AM,SSC Multi Room,$210.00,,11/7/2023 1:36:55 PM
21277,Biological Sciences Student Association,BSSA Winter GBM,01/11/2024 12:00 AM,Price Center - Theater,$300.80,,11/8/2023 2:48:16 PM
21350,Computer Science and Engineering Society,CSES GBM,01/11/2024 12:00 AM,Ballroom West,$600.00,,11/20/2023 1:18:38 PM
21270,Keyboard Club at UC San Diego,Winter GBM,01/12/2024 12:00 AM,Price Theatre,$552.11,,11/4/2023 5:34:55 PM
21281,Institute of Electrical and Electronics Engineers (IEEE),IEEE Winter GBM 2024,01/12/2024 12:00 AM,Qualcomm Room in Jacobs Hall,$600.00,,11/10/2023 8:36:26 PM
21286,Data Science Student Society,DS3 Tabling,01/12/2024 12:00 AM,"Table 1977, Library Walk",$374.97,,11/10/2023 11:58:28 PM
21268,Swara @ UC San Diego,Swara,01/13/2024 12:00 AM,Multipurpose Room,"$2,000.00",,11/4/2023 3:01:46 PM
21323,Swara @ UC San Diego,Swara 2024: Origins Bid Comp,01/14/2024 12:00 AM,Mandeville Auditorium,"$4,500.00",,11/17/2023 7:02:46 PM
21306,Student Entrepreneurs Network,General Board Meeting #1 for Winter Quarter,01/15/2024 12:00 AM,Wells Fargo Hall 1N108,$600.00,,11/16/2023 4:51:30 PM
21310,Undergraduate Women in Computing at UC San Diego,WIC X NSBE Board Social,01/15/2024 12:00 AM,Qualcomm Room,$253.21,,11/16/2023 6:21:37 PM
21342,Computer Science and Engineering Society,CSES Career Exploration,01/15/2024 12:00 AM,CSE B225,$123.35,,11/17/2023 10:39:48 PM
21344,Association for Computing Machinery (ACM),Personal Portfolio Building,01/15/2024 12:00 AM,ASML,$350.00,,11/17/2023 11:34:05 PM
21276,Eta Kappa Nu (HKN),HKN Filter Simulation w/ LTspice,01/16/2024 12:00 AM,Henry Booker Room,$279.07,,11/13/2023 3:47:01 PM
21291,Graphite,Winter Welcome Back Social,01/16/2024 12:00 AM,NSB Auditorium,$587.24,,11/13/2023 4:07:26 PM
21294,NanoEngineering and Technology Society,NETS Winter GBM,01/16/2024 12:00 AM,SME 248 ASML Conference Center,$349.65,,11/13/2023 6:37:07 PM
21299,Undergraduate Bioinformatics Club (UBIC),Winter GBM,01/16/2024 12:00 AM,Fung Auditorium,$150.63,,11/14/2023 5:35:51 PM
21304,Delta Sigma Pi,Delta Sigma Pi WI24 Recruitment - Information Night,01/16/2024 12:00 AM,Price Center Ballroom A,$125.00,,11/17/2023 12:06:33 AM
21307,Data Science Student Society,DS3 Winter GBM,01/16/2024 12:00 AM,Price Center Ballroom | East,"$3,480.00",,11/16/2023 2:55:15 PM
