FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
24118,Project in a Box,Fall W10 Project Committee,12/03/2025 7:00 PM,Envision,$300.00,,10/1/2025 8:37:43 PM
24285,Duly Noted,Fall Concert,12/03/2025 8:00 PM,Student Services Center Multipurpose Room,$120.00,,10/24/2025 2:58:22 PM
24267,Ahlul-Bayt Student Association,ABSA Giveaway 2,12/04/2025 8:00 AM,Bear Room,$597.02,,10/17/2025 8:02:09 PM
24286,Shifa Society,Destress with Shifa,12/04/2025 2:00 PM,Red Shoe Room,$246.81,,10/24/2025 3:14:52 PM
24280,The Beat at UCSD,The Beat Fall Concert,12/04/2025 5:00 PM,Price Center Theater,$540.00,,10/23/2025 8:48:43 PM
24294,Undergraduate Bioinformatics Club (UBIC),Transfer Mingle,12/04/2025 5:00 PM,Zweifach Library (Powell-Focht Bioengineering Building),$137.11,,10/26/2025 11:55:32 AM
24307,Origami Folders at UC San Diego,Origami Folders Workshop,12/04/2025 5:00 PM,Warren College Room,$93.27,,10/30/2025 4:13:10 PM
24244,Roblox + RBXDev at UC San Diego,Roblox + RBXDev at UC San Diego Study Jam,12/04/2025 6:00 PM,Price Center Green Table Room,$88.50,,10/17/2025 6:18:28 PM
24246,Living Stones College Ministry,Living Stones Finals Meeting Fall,12/04/2025 6:00 PM,Price Center Marshall College Room,$355.58,,10/14/2025 1:35:22 PM
24311,First Generation Student Alliance,GBM #4,12/04/2025 6:00 PM,Price Center - Bear Room,$493.96,,10/31/2025 4:49:53 PM
24284,Biomedical Engineering Society (BMES),BMES GBM#3,12/04/2025 7:00 PM,Fung Auditorium,$445.69,,10/24/2025 8:00:44 PM
24317,Society of Undergraduate Mathematics Students (SUMS),Destress Social,12/04/2025 7:00 PM,APM B412,$380.36,,10/31/2025 11:40:24 PM
24187,Taiwanese American Student Association,TASA Study Jam,12/04/2025 8:00 PM,red shoe room and Bear Room in Price Center,$341.19,,10/13/2025 3:54:38 PM
24027,Triton Baja,Triton BAJA GBM,12/05/2025 2:30 PM,Price Center Green Table Room,$399.80,,11/12/2025 8:41:29 AM
24291,Bleeding Hearts Poetry Collective,Bleeding Hearts Poetry Collective Finals Destressor,12/05/2025 4:00 PM,Conference Room 260 at Student Services Center,$123.48,,10/24/2025 10:23:11 PM
24290,333Jugglers,End of Quarter GBM,12/05/2025 4:30 PM,Sun God Lawn,$160.00,,11/21/2025 11:44:43 PM
24253,Muse Dance Company,Muse Dance Company Fall Showcase,12/05/2025 5:00 PM,Price Center East Ballroom,$450.00,,10/16/2025 12:11:58 PM
24282,San Diego Indonesian Association (SDIA),SDIA Study Jam,12/05/2025 5:00 PM,Marshall College Room,$332.09,,10/24/2025 12:46:54 PM
24315,Living Water Student Fellowship (LWSF),LWSF Study Jam,12/05/2025 5:00 PM,Price Center - Warren College Room,$192.87,,10/31/2025 9:38:22 PM
24258,Redeemer’s Grace Church on Campus at UC San Diego,RGC Doubt Night,12/05/2025 6:00 PM,RIMAC Annex The Dugout Conference Room,$668.75,,10/17/2025 3:02:59 AM
24292,Themed Entertainment Association @ UC San Diego,TEA #4 GBM Fall,12/05/2025 6:00 PM,ERC Room Price Center,$42.88,,10/24/2025 11:38:47 PM
24279,Triton Swing Dance,Triton Swing Dance Winter Bash,12/05/2025 7:00 PM,Stage Room,$500.00,,10/24/2025 1:03:43 PM
24289,Multi-Identity Art Collective,MIAC End of Quarter Banquet,12/05/2025 7:00 PM,Student Services Center Multi Room,$589.10,,10/24/2025 7:15:03 PM
24283,Engineering World Health,Fall Design Review,12/07/2025 11:00 AM,The Forum,$484.88,,10/27/2025 6:05:46 PM
24287,American Institute of Chemical Engineers (AIChE),Finals Study Jam,12/08/2025 5:00 PM,Green Table Room,$294.17,,11/19/2025 9:51:20 AM
