FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
23024,Y.E.S - Youth Empowerment in Science,Y.E.S. Winter GBM 2,02/18/2025 12:00 AM,Bear Room- Price,$199.34,,1/9/2025 3:20:08 PM
23145,Institute of Electrical and Electronics Engineers (IEEE),Intro to Pandas,03/10/2025 12:00 AM,Henry Booker,$199.06,,1/24/2025 4:12:11 PM
23221,Tau Kappa Epsilon,Tau Kappa Epsilon Open Forum,03/30/2025 12:00 AM,Price Center Forum,$446.09,,2/13/2025 1:51:14 PM
23228,Boardgames and Boba @ UC San Diego,Board Games and Boba Game Night,03/31/2025 12:00 AM,Forum,$594.37,,2/14/2025 6:11:58 PM
23230,Movimiento Estudiantil Chicanx por Activismo (MEChA),MEChA Week 1 General Body Meeting,03/31/2025 12:00 AM,Cross Cultural Center - Community Room,$279.27,,2/14/2025 8:12:16 PM
23223,Students for Global Health,Spring GBM #1,04/01/2025 12:00 AM,ERC Room Price Center,$297.58,,2/14/2025 12:22:40 AM
23215,Scripps Education Association,SEA Club General Body Meeting,04/02/2025 12:00 AM,Vaughn 100,$172.48,,2/11/2025 8:02:19 PM
23222,Undergraduate Bioinformatics Club (UBIC),Spring GBM,04/02/2025 12:00 AM,"Fung Auditorium, PFBH",$372.80,,2/13/2025 4:53:32 PM
23224,Project in a Box,PiB Spring GBM,04/02/2025 12:00 AM,EnVision,$300.00,,2/14/2025 11:43:31 AM
23229,Video Game Development Club (VGDC) at UC San Diego,VGDC Spring GBM,04/02/2025 12:00 AM,Multipurpose Room,"$1,163.27",,2/14/2025 8:26:09 PM
23232,Stationery Club,Junk Journaling,04/02/2025 12:00 AM,Warren College Room,$392.62,,2/14/2025 8:29:38 PM
23311,Association for Computing Machinery (ACM),Spring Kickoff,04/02/2025 12:00 AM,Price Center East Ballroom,"$1,993.38",,2/26/2025 4:03:04 PM
* 23233,Bangali Student Association,BSA Welcome Dinner,04/03/2025 12:00 AM,Governance Chamber,$301.00,,2/14/2025 11:57:18 PM
23201,Society of Cosmetic Chemists at UC San Diego,SCC SP25 GBM #1,04/03/2025 12:00 AM,Price Center Marshall Room,$174.29,,2/7/2025 6:45:58 PM
23204,Society of Hispanic Professional Engineers,SHPE @ UCSD GBM#1,04/03/2025 12:00 AM,Henry Booker Room,$549.54,,2/8/2025 5:06:49 PM
