FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED,
20140,Alpha Epsilon Delta Pre-Health Professional Honor Society,AED GBM 2 Fall 2023,20231025T00:00:00Z                 10/25/2023 12:00 AM,Student Center - Stage Room & Patio,$848.70,,20230602T23:26:26Z                     6/2/2023 11:26:26 PM,Final                                                                                                                                      Details
20141,Association for Computing Machinery (ACM),Mastering Dimensions: An Introduction to Numbers with Numpy,20231018T00:00:00Z                 10/18/2023 12:00 AM,PC Bear Room,$374.97,,20230602T23:35:01Z                     6/2/2023 11:35:01 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20143,Eta Kappa Nu (HKN),HKN Understanding a Problem,20231024T00:00:00Z                 10/24/2023 12:00 AM,Qualcomm Conference Center,$0.00,,20230602T23:28:06Z                     6/2/2023 11:28:06 PM,Final                                                                                                                                      Details
20145,Data Science Student Society,Data Industry Panel,20231102T00:00:00Z                 11/02/2023 12:00 AM,Price Center West Ballroom A,"$2,499.80",,20230602T23:33:09Z                     6/2/2023 11:33:09 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20146,Deejays and Vinylphiles Club,DVC Presents: HALLOWEEN 2023,20231026T00:00:00Z                 10/26/2023 12:00 AM,Price Center Ballroom West A/B,"$6,000.00",,20230602T23:54:06Z                     6/2/2023 11:54:06 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20147,Muslim Student Association,MSA Townhall,20231026T00:00:00Z                 10/26/2023 12:00 AM,PC East Forum,$897.39,,20230602T23:52:38Z                     6/2/2023 11:52:38 PM,Final                                                                                                                                      Details
20148,Pakistani Student Association,Rytha Bhatty,20231109T00:00:00Z                 11/09/2023 12:00 AM,Multi-Purpose Room,$600.00,,20230927T11:28:36Z                     9/27/2023 11:28:36 AM,Final                                                                                                                                      Details
20149,Ahlul-Bayt Student Association,Birth of Lady Zeinab,20231116T00:00:00Z                 11/16/2023 12:00 AM,Bear Room,$99.99,,20230927T21:29:33Z                     9/27/2023 9:29:33 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
20150,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 6 GBM,20231108T00:00:00Z                 11/08/2023 12:00 AM,Natural Sciences Building,$896.92,,20230927T14:37:48Z                     9/27/2023 2:37:48 PM,Final                                                                                                                                      Details
20151,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 7 GBM,20231115T00:00:00Z                 11/15/2023 12:00 AM,Natural Sciences Building,$599.99,,20230927T14:37:54Z                     9/27/2023 2:37:54 PM,Final                                                                                                                                      Details
