ORG_ID,FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
BRIDGING_THE_GAP_01,* 21698,Bridging the Gap,URiM (Underrepresented in Medicine) Conference,04/20/2024 12:00 AM,UCSD Skaggs School of Pharmacy,"$2,000.00",,1/29/2024 12:15:43 PM
ROLE_PLAYING_GAMES_CLUB_01,* 21710,Role Playing Games Club,RPG Club Spring GBM,04/09/2024 12:00 AM,The Forum at Price Center,$599.95,,2/2/2024 2:44:58 PM
MEMO_AT_UC_SAN_DIEGO_01,* 21757,M.E.M.O. at UC San Diego,2024 M.E.M.O. Awareness Night,04/24/2024 12:00 AM,Multipurpose Room,,,3/8/2024 1:16:22 PM
CATALYST_AT_UC_SAN_DIEGO_01,* 21822,Catalyst at UC San Diego,Careers in Research - Guest Panel,04/23/2024 12:00 AM,Price Center Governance Chambers,,,2/29/2024 7:16:30 PM
ARMENIAN_STU_ASSOC_01,* 21853,Armenian Student Association,Celine,04/20/2024 12:00 AM,Multi Purpose Room,"$1,650.46",,3/1/2024 9:57:13 PM
DEEJAYS_AND_VINYLPHILES_CLUB_01,* 21893,Deejays and Vinylphiles Club,DVC Presents: GIRLS NIGHT,04/19/2024 12:00 AM,Old Student Center Courtyard,$460.00,,3/8/2024 10:01:48 PM
MOVIMIENTO_ESTUDIANTIL_CHICANX_01,* 21913,Movimiento Estudiantil Chicanx por Activismo (MEChA),MEChA de UCSD Labor Rights & Movement Teach In,04/19/2024 12:00 AM,Red Shoe Room,$506.43,,3/8/2024 7:15:32 PM
SPORTS_MEDICINE_ASSOC_AT_UC_SA_01,* 21929,Sports Medicine Association at UC San Diego,Megan Ngo,05/21/2024 12:00 AM,Price Center- Warren College Room,,,3/9/2024 9:49:24 AM
LAUNDRY_LOADS_OF_LOVE_01,* 21945,Laundry Loads Of Love,Laundry Loads of Love GBM,04/26/2024 12:00 AM,Marshall College Room,,,3/13/2024 10:06:17 AM
MUSLIM_STU_ASSOC_01,* 21961,Muslim Student Association,MSA Townhall and Fundraiser,04/25/2024 12:00 AM,Multipurpose Room,"$1,535.92",,3/15/2024 11:31:40 PM
STATIONERY_CLUB_01,* 22052,Stationery Club,Stationery Club Meeting,05/15/2024 12:00 AM,Price Center Rooms,,,4/5/2024 10:21:37 PM
MUSICIANS_CLUB_UC_SAN_DIEGO_01,* 22093,Musicians Club @ UC San Diego,Iconic 2025,05/18/2024 12:00 AM,Price Center East Ballroom,,,4/5/2024 11:50:14 PM
STATIONERY_CLUB_01,* 22131,Stationery Club,Art Journaling,05/22/2024 12:00 AM,The Bear Room,,,4/12/2024 7:54:26 PM
FIGURE_SKATING_UC_SAN_DIEGO_01,* 22473,Figure Skating @ UC San Diego,"University of Denver at Joy Burns Arena, University of Denver",11/01/2024 12:00 AM,"Joy Burns Arena, University of Denver","$2,200.00",,6/27/2024 3:42:16 PM
ETA_KAPPA_NU_HKN_01,21642,Eta Kappa Nu (HKN),HKN Leetcode Workshop,02/29/2024 12:00 AM,Henry Booker Room,$259.00,,1/19/2024 4:50:34 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,21652,Association for Computing Machinery (ACM),Hack Placeholder,03/04/2024 12:00 AM,Henry Booker Room,$344.80,,1/19/2024 11:15:59 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,21655,Association for Computing Machinery (ACM),ACM Cafe,03/05/2024 12:00 AM,DIB 208,$591.83,,1/19/2024 11:23:33 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,21656,Association for Computing Machinery (ACM),Events Staff Placeholder,03/05/2024 12:00 AM,Qualcomm Room,$344.80,,1/19/2024 11:29:40 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,21657,Association for Computing Machinery (ACM),Study Jam,03/07/2024 12:00 AM,ASML,$349.97,,1/19/2024 11:35:26 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,21658,Association for Computing Machinery (ACM),Keerthi Event Workshop Placeholder,03/08/2024 12:00 AM,SME ASML Room,$344.00,,1/19/2024 11:39:05 PM
KEYBOARD_CLUB_AT_UC_SAN_DIEGO_01,21661,Keyboard Club at UC San Diego,Studio Keebli: Keyboard Meet Of Your Dreams,04/06/2024 12:00 AM,Price Center West - Ballroom AB + East Ballroom,"$10,371.35",,1/22/2024 4:27:37 PM
AEQUORA_BALLET_COMPANY_01,21665,Aequora Ballet Company,Spring Show 2024 Rehearsal 1,05/12/2024 12:00 AM,Price Center West Ballroom AB,$350.00,,1/27/2024 4:30:36 PM
AEQUORA_BALLET_COMPANY_01,21666,Aequora Ballet Company,Spring Show 2024 Rehearsal 2,05/13/2024 12:00 AM,Price Center West Ballroom AB,$350.00,,1/27/2024 4:31:19 PM
AEQUORA_BALLET_COMPANY_01,21667,Aequora Ballet Company,Spring Show 2024 Rehearsal 3,05/14/2024 12:00 AM,Price Center West Ballroom AB,$350.00,,1/27/2024 4:32:01 PM
AEQUORA_BALLET_COMPANY_01,21668,Aequora Ballet Company,Spring Show 2024,05/19/2024 12:00 AM,Price Center West Ballroom AB,"$1,462.50",,1/27/2024 4:38:38 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,21687,Association for Computing Machinery (ACM),🌸 Spring Kickoff,04/01/2024 12:00 AM,PC East Ballroom,"$4,498.87",,2/15/2024 2:23:18 PM
TEDXUCSANDIEGO_01,21701,TEDx@UCSanDiego,Spring Salon,04/18/2024 12:00 AM,The Loft,$600.00,,1/29/2024 9:47:24 AM
