ORG_ID,FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
AHLULBAYT_STU_ASSOC_01,17477,Ahlul-Bayt Student Association,ABSA Winter GBM,02/22/2023 12:00 AM,PC West Marshall Rm,$488.77,,1/22/2023 7:27:57 PM
AHLULBAYT_STU_ASSOC_01,17497,Ahlul-Bayt Student Association,ABSA Giveaway,03/02/2023 12:00 AM,PC West Bear Room,$498.50,,1/23/2023 2:44:11 PM
MUSLIM_STU_ASSOC_01,17557,Muslim Student Association,Pop Up Breakfast,03/14/2023 12:00 AM,Matthews Quad,$557.65,,2/7/2023 10:33:30 AM
MUSLIM_STU_ASSOC_01,17553,Muslim Student Association,Dawah Table,03/15/2023 12:00 AM,Library Walk,$145.19,,2/7/2023 10:34:14 AM
MUSLIM_STU_ASSOC_01,17554,Muslim Student Association,Fundraising Table,03/15/2023 12:00 AM,Library Walk,$140.59,,2/7/2023 10:36:06 AM
MUSLIM_STU_ASSOC_01,17558,Muslim Student Association,Bystander Training,03/16/2023 12:00 AM,Dolores Huerta,$896.65,,2/8/2023 8:11:02 PM
MUSLIM_STU_ASSOC_01,* 17597,Muslim Student Association,MSA Iftar,04/03/2023 12:00 AM,Multi-Purpose Room,"$2,320.80",,2/17/2023 10:25:47 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,17592,Association for Computing Machinery (ACM),Spring Kickoff,04/04/2023 12:00 AM,PC East Ballroom,"$4,940.44",,2/27/2023 5:15:26 PM
MUSLIM_STU_ASSOC_01,17598,Muslim Student Association,MSA Iftar 4/4,04/04/2023 12:00 AM,PC West Ballroom,"$2,273.30",,2/27/2023 5:15:58 PM
THETA_TAU_AT_UC_SAN_DIEGO_01,17533,Theta Tau at UC San Diego,Theta Tau Engineering Night,04/05/2023 12:00 AM,PC West Theater,$121.86,,1/30/2023 2:50:21 PM
AMERICAN_CHEMICAL_SOCIETY_STU__01,17546,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 1 GBM,04/05/2023 12:00 AM,Natural Sciences Building,$896.92,,2/8/2023 8:13:45 PM
BIOMEDICAL_ENG_SOCIETY_BMES_01,17590,Biomedical Engineering Society (BMES),Bioengineering Career Fair 2023,04/05/2023 12:00 AM,Powell-Focht Bioengineering Hall Fung Auditorium,$913.12,,2/27/2023 5:16:17 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,17593,Association for Computing Machinery (ACM),Learn more about board!,04/05/2023 12:00 AM,PC West Earl Warren,$897.42,,2/27/2023 5:17:00 PM
PROJECT_IN_A_BOX_01,17599,Project in a Box,PiB Spring GBM,04/05/2023 12:00 AM,EnVision,$498.34,,2/27/2023 5:17:19 PM
THETA_TAU_AT_UC_SAN_DIEGO_01,17537,Theta Tau at UC San Diego,Theta Tau Night,04/06/2023 12:00 AM,PC East Forum,$190.91,,1/30/2023 2:47:48 PM
AHLULBAYT_STU_ASSOC_01,17571,Ahlul-Bayt Student Association,ABSA Iftar,04/06/2023 12:00 AM,Huerta-Vera Cruz,$898.01,,2/14/2023 10:08:04 AM
BEAUTIFUL_MIND_PROJECT_UC_SAN__01,17573,Beautiful Mind Project @ UC San Diego,Sheikh Jabir Lecture,04/06/2023 12:00 AM,Multipurpose Room,"$2,949.45",,2/14/2023 10:08:47 AM
ASSOC_FOR_COMP_MACHINERY_ACM_01,17594,Association for Computing Machinery (ACM),Winter Projects Showcase,04/06/2023 12:00 AM,Henry Booker Room,$833.83,,2/27/2023 5:17:40 PM
PREMEDICAL_APAMSA_AT_UC_SAN_DI_01,17602,Pre-Medical APAMSA at UC San Diego,APAMSA GBM #1: Gap Year or No Gap Year?,04/06/2023 12:00 AM,Price Center West - Bear Room,$391.85,,2/27/2023 5:18:14 PM
DEEJAYS_AND_VINYLPHILES_CLUB_01,17595,Deejays and Vinylphiles Club,DVC Presents: Spring Pool Party 2023,04/07/2023 12:00 AM,Canyonview Pool,"$5,947.04",,3/6/2023 2:10:15 PM
REDEEMERS_GRACE_CHURCH_ON_CAMP_01,17606,Redeemer’s Grace Church on Campus at UC San Diego,RGC Doubt Night,04/07/2023 12:00 AM,Thurgood Marshall Room,$384.87,,2/27/2023 5:19:34 PM
INDIAN_STU_ASSOC_01,17605,Indian Student Association,Holi 2023,04/08/2023 12:00 AM,Marshall Field,"$3,000.00",,2/27/2023 5:21:53 PM
INDIAN_STU_ASSOC_01,18653,Indian Student Association,Holi 2023,04/08/2023 12:00 AM,Marshall Field,"$4,502.55",,3/13/2023 2:07:56 PM
DELTA_GAMMA_01,17549,Delta Gamma,Anchor Splash,04/09/2023 12:00 AM,Canyonview Pool,"$3,333.81",,3/7/2023 1:20:52 PM
AHLULBAYT_STU_ASSOC_01,17601,Ahlul-Bayt Student Association,ABSAxMSA Iftar,04/10/2023 12:00 AM,PC East Forum,$900.00,,2/27/2023 5:23:07 PM
STAR_WARS_CLUB_AT_UC_SAN_DIEGO_01,18608,Star Wars Club at UC San Diego,Star Wars Club Spring Kickoff,04/10/2023 12:00 AM,Price Center West Marshall Room,$499.96,,2/27/2023 5:23:34 PM
ANIME_MANGA_ENTHUSIASTS_AT_UC__01,18609,Anime & Manga Enthusiasts at UC San Diego,Spring GBM 2,04/10/2023 12:00 AM,Price Center Theater,$350.00,,2/27/2023 5:23:53 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18622,Association for Computing Machinery (ACM),ACM Cafe,04/10/2023 12:00 AM,Design and Innovation Building 202,$496.47,,2/27/2023 5:24:43 PM
PHI_SIGMA_PI_01,18646,Phi Sigma Pi,PSP Rush Mario Kart,04/10/2023 12:00 AM,PC West - Bear Room,$61.47,,3/6/2023 2:31:33 PM
SOCIETY_OF_ASIAN_SCIENTISTS_AN_01,18610,Society of Asian Scientists and Engineers at UC San Diego,SPRING GBM #1,04/11/2023 12:00 AM,ASML Conference Center,$853.92,,2/27/2023 5:25:13 PM
PREPA_STU_ORG_PPASO_01,18614,Pre-PA Student Organization (PPASO),PPASO Dine with a PA,04/11/2023 12:00 AM,PC West Ballroom B,$150.00,,3/6/2023 2:31:48 PM
AMERICAN_INSTITUTE_OF_CHEMICAL_01,18621,American Institute of Chemical Engineers (AIChE),Spring GBM,04/11/2023 12:00 AM,SME 248,$554.76,,2/27/2023 5:25:39 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18623,Association for Computing Machinery (ACM),AI Spring GBM,04/11/2023 12:00 AM,PC Eleanor Roosevelt Room,$874.93,,2/27/2023 5:26:22 PM
MUSLIM_STU_ASSOC_01,18630,Muslim Student Association,MSA Iftar,04/11/2023 12:00 AM,Dolores Huerta,$899.98,,2/27/2023 5:26:50 PM
INSTITUTE_OF_ELECTRICAL_AND_EL_02,18632,Institute of Electrical and Electronics Engineers (IEEE),IEEE Spring GBM,04/11/2023 12:00 AM,Henry Booker Room,$792.87,,2/27/2023 5:28:05 PM
PHI_SIGMA_PI_01,18647,Phi Sigma Pi,PSP Rush Info,04/11/2023 12:00 AM,PC West - Bear Room,$30.00,,3/6/2023 2:32:00 PM
MEMO_AT_UC_SAN_DIEGO_01,* 17570,M.E.M.O. at UC San Diego,2023 Awareness Night,04/12/2023 12:00 AM,The Stage Room,,,2/14/2023 10:11:19 AM
PAKISTANI_STU_ASSOC_01,* 18639,Pakistani Student Association,PSA x MSA Iftaar,04/12/2023 12:00 AM,Matthews Quad,"$2,370.50",,2/24/2023 10:18:26 PM
AMERICAN_CHEMICAL_SOCIETY_STU__01,17547,American Chemical Society Student Affiliates (ACSSA),ACSSA Week 2 GBM,04/12/2023 12:00 AM,Natural Sciences Building,$896.92,,2/8/2023 8:14:27 PM
ALPHA_EPSILON_DELTA_PREHEALTH__01,18620,Alpha Epsilon Delta Pre-Health Professional Honor Society,Alpha Epsilon Delta Spring GBM 1,04/12/2023 12:00 AM,Price Center West - Theater,$588.22,,2/27/2023 5:28:42 PM
ASSOC_FOR_COMP_MACHINERY_ACM_01,18624,Association for Computing Machinery (ACM),From Hollywood to Health Care: how design thinking applies,04/12/2023 12:00 AM,Qualcomm Room,$449.10,,2/27/2023 5:29:01 PM
PROJECT_IN_A_BOX_01,18626,Project in a Box,PiB Project Committee,04/12/2023 12:00 AM,EnVision,$498.34,,2/27/2023 5:30:23 PM
UNDERGRADUATE_WOMEN_IN_COMP_AT_01,18637,Undergraduate Women in Computing at UC San Diego,Spring GBM #1: WIC Alumni,04/12/2023 12:00 AM,ASML Conference Room,$340.00,,2/27/2023 5:31:05 PM
